Price      ,Close              ,Close              ,Close              ,Close              ,Close              ,Close               ,High               ,High               ,High               ,High               ,High               ,High                ,Low                ,Low                ,Low                ,Low                ,Low                ,Low                 ,Open               ,Open               ,Open               ,Open               ,Open               ,Open                ,Volume    ,Volume    ,Volume    ,Volume    ,Volume    ,Volume
Ticker     ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL               ,AMZN               ,GOOGL              ,META               ,MSFT               ,NVDA                ,AAPL      ,AMZN      ,GOOGL     ,META      ,MSFT      ,NVDA
Date       ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,                   ,                   ,                   ,                   ,                   ,                    ,          ,          ,          ,          ,          ,
2015-01-02 ,24.347177505493164 ,15.425999641418457 ,26.381864547729492 ,78.1514663696289   ,40.232852935791016 ,0.4831436574459076  ,24.817062793488617 ,15.737500190734863 ,26.693235802043404 ,78.62964314038716  ,40.80072457291098  ,0.4867438588886668  ,23.906241875882287 ,15.347999572753906 ,26.298664339339545 ,77.40432039056797  ,40.04356457822465  ,0.47546326585019505 ,24.805927394635837 ,15.628999710083008 ,26.53381197141211  ,78.28097653689777  ,40.146813071643614 ,0.4831436574459076  ,212818400 ,55664000  ,26480000  ,18177500  ,27913900  ,113680000
2015-01-05 ,23.66127586364746  ,15.10949993133545  ,25.87918472290039  ,76.8962631225586   ,39.862876892089844 ,0.4749831259250641  ,24.195742670019182 ,15.418999671936035 ,26.304144518013192 ,78.94842155353801  ,40.20703961360443  ,0.4845836129416137  ,23.474213415880083 ,15.042499542236328 ,25.79399473602273  ,76.5675170825391   ,39.794042378460766 ,0.4728230342286048  ,24.115572564112266 ,15.350500106811523 ,26.262296405064323 ,77.68325776365303  ,39.897290866694114 ,0.4831435327362255  ,257142000 ,55484000  ,41182000  ,26452200  ,39673900  ,197952000
2015-01-06 ,23.663497924804688 ,14.76449966430664  ,25.240501403808594 ,75.86022186279297  ,39.27780532836914  ,0.4605824649333954  ,23.924049860493223 ,15.149999618530273 ,25.966368522154774 ,77.29473694790897  ,40.22425712429161  ,0.4761832107429229  ,23.300505111079683 ,14.619000434875488 ,25.186197680374406 ,75.07322720064123  ,39.183159492334696 ,0.46010244770773484 ,23.72585205994149  ,15.112000465393066 ,25.930997174056603 ,76.93611387690132  ,39.90590563398474  ,0.47570319351726237 ,263188400 ,70380000  ,54456000  ,27399300  ,36447900  ,197764000
2015-01-07 ,23.995315551757812 ,14.920999526977539 ,25.166271209716797 ,75.86022186279297  ,39.77683639526367  ,0.45938238501548767 ,24.095527326889126 ,15.064000129699707 ,25.482125663309546 ,77.06561644142181  ,39.97473071179209  ,0.4680228090997764  ,23.761485811087393 ,14.766500473022461 ,25.091543245230124 ,75.53147581397735  ,39.1401335129045   ,0.45794230479756515 ,23.872832983021304 ,14.875             ,25.455224660351615 ,76.46790118925999  ,39.56173344918359  ,0.46394259135287036 ,160423600 ,52806000  ,46918000  ,22045300  ,29114100  ,321808000
2015-01-08 ,24.91727066040039  ,15.02299976348877  ,25.25395393371582  ,77.88249969482422  ,40.946990966796875 ,0.47666335105895996 ,24.975171667068338 ,15.156999588012695 ,25.28334643817867  ,77.93231246852679  ,41.08465670089367  ,0.4795435123799261  ,24.206875140930833 ,14.805500030517578 ,24.661599755775498 ,75.79049240547353  ,40.198433742783685 ,0.46442275127974963 ,24.324904573490937 ,15.015999794006348 ,24.984928707622984 ,76.44797693624675  ,40.22424504223621  ,0.46466277426037417 ,237458000 ,61768000  ,73054000  ,23961000  ,29645200  ,283780000
2015-01-09 ,24.943992614746094 ,14.846500396728516 ,24.94556999206543  ,77.44417572021484  ,40.60283279418945  ,0.47858327627182007 ,25.2201331108292   ,15.143500328063965 ,25.338147878892897 ,78.32083194161847  ,41.144893162344786 ,0.48218347662313976 ,24.543142137348912 ,14.833999633789062 ,24.84244536664587  ,76.90622965717968  ,40.353315859702    ,0.47186294996872613 ,25.090969990443114 ,15.074000358581543 ,25.317223821508133 ,77.90242438123829  ,40.96420746702989  ,0.4783432819894799  ,214798000 ,51848000  ,42000000  ,21157000  ,23944200  ,209540000
2015-01-12 ,24.329357147216797 ,14.570500373840332 ,24.76323127746582  ,76.42805480957031  ,40.095176696777344 ,0.47258299589157104 ,25.082063420306202 ,14.92549991607666  ,24.923649043990856 ,77.70318274627172  ,40.90396564994686  ,0.4800233623570722  ,24.229145371757376 ,14.46399974822998  ,24.456841135285984 ,75.9199934096664   ,39.8886797639495   ,0.46826278402810656 ,25.075382861811978 ,14.878000259399414 ,24.87183682306002  ,77.54378795400304  ,40.80071390132337  ,0.47978333946013785 ,198603200 ,68428000  ,57138000  ,19190200  ,23651900  ,190732000
2015-01-13 ,24.545372009277344 ,14.737000465393066 ,24.999374389648438 ,76.1590805053711   ,39.8886833190918   ,0.4718630015850067  ,25.119923851288746 ,15.074999809265137 ,25.338146452437986 ,77.78288270353612  ,41.222320676683566 ,0.4857836728902549  ,24.253642948754624 ,14.661499977111816 ,24.77319503439497  ,75.5613652154068   ,39.63056048894659  ,0.46850285237170963 ,24.814831974168793 ,14.87399959564209  ,25.037735159360917 ,76.93611874272318  ,40.4135349336393   ,0.47618321386754925 ,268367600 ,82728000  ,60958000  ,25179600  ,35270600  ,236720000
